territorio,nome,gap_studio_F_M,gap_lavoro_F_M,ribaltamento,pendolari,km_capoluogo
084003,Aragona,2.368178968877455,-5.014091956628512,7.382270925505967,2407.0,11.516643695104923
084004,Bivona,1.9329824284571075,-4.18180756826175,6.114789996718857,775.0,32.431637716896134
084005,Burgio,4.595635430038513,13.238459698636692,-8.64282426859818,670.0,42.67336558088663
084006,Calamonaci,-9.517725966145,3.6867505846062016,-13.204476550751203,300.0,32.65780347788259
084007,Caltabellotta,0.37001688569121427,4.094677643784788,-3.7246607580935738,795.0,42.892622034564404
084008,Camastra,-1.677056511722455,-6.287425149700596,4.610368637978141,467.0,21.047634831495913
084009,Cammarata,10.752694772509638,3.437896875793747,7.314797896715891,1438.0,38.04881019164725
084010,Campobello di Licata,0.6891806027561955,0.9608285164960044,-0.2716479137398089,1934.0,29.750243444382097
084011,Canicattì,1.6632941431693542,1.74029882371806,-0.0770046805487059,7635.0,23.27404000168428
084012,Casteltermini,4.421818626551703,-17.271162779991577,21.692981406543282,1814.0,23.17270387762291
084013,Castrofilippo,6.565109805134547,-8.747262740968537,15.312372546103084,626.0,15.40709083506682
084014,Cattolica Eraclea,-1.5155502917050505,2.8560285602856013,-4.371578851990652,788.0,22.877325411857043
084015,Cianciana,6.038406038406038,-0.37285369093149257,6.41125972933753,747.0,24.62169825580681
084016,Comitini,3.0973451327433636,-34.26152092493079,37.358866057674156,227.0,11.860478658131804
084017,Favara,1.7763596257789303,-4.019381351313434,5.795740977092365,6908.0,7.438016536685033
084018,Grotte,2.0920536945176806,0.7956516128626134,1.2964020816550672,1208.0,14.923340946316277
084019,Joppolo Giancaxio,2.7244421380384054,-10.046092604232143,12.770534742270549,283.0,7.545911210715377
084020,Lampedusa e Linosa,0.22172949002217296,0.0,0.22172949002217296,1384.0,219.11067702191056
084021,Licata,0.8092006033182506,-2.0855847883093688,2.8947853916276194,7834.0,34.235653053505494
084022,Lucca Sicula,-9.519018875155695,-1.4822771213748638,-8.03674175378083,533.0,34.92392661199482
084023,Menfi,-0.7931548240937918,4.940149810359944,-5.733304634453736,2564.0,62.74396280918189
084024,Montallegro,-5.188803416303493,-10.302122194361196,5.113318778057703,560.0,20.633720411016526
084025,Montevago,1.643026004728135,7.2435897435897445,-5.600563738861609,598.0,69.41243494504425
084026,Naro,-4.570488420406857,5.023335789732254,-9.593824210139111,1576.0,16.012396510204212
084027,Palma di Montechiaro,-0.8152788128215622,-13.66109422608778,12.845815413266218,4646.0,22.02154165811286
084028,Porto Empedocle,0.7467402152217311,3.1313118438550234,-2.3845716286332923,3347.0,7.547705611641196
