territorio,nome,quota_fuori,atteso,residuo,km_capoluogo,pendolari,verso_palermo,fuori
082082,Blufi,66.38655462184875,41.61300855881878,24.77354606302997,79.66773502491456,238.0,42.0,158.0
083001,Alcara li Fusi,47.71689497716895,39.20594038648129,8.51095459068766,74.15167948199151,438.0,2.0,209.0
083002,Alì,60.122699386503065,66.87914657767762,-6.756447191174551,17.251831265115015,163.0,0.0,98.0
083003,Alì Terme,60.61538461538461,57.448200237687516,3.1671843776970974,19.073308496430293,650.0,0.0,394.0
083004,Antillo,54.35897435897436,55.33724327997646,-0.9782689210021047,34.61947511156112,195.0,0.0,106.0
083005,Barcellona Pozzo di Gotto,31.092131564601125,37.00354632006175,-5.911414755460626,25.281365825445427,11006.0,18.0,3422.0
083006,Basicò,35.57692307692308,56.30353047676225,-20.726607399839168,41.20936574372384,104.0,1.0,37.0
083007,Brolo,40.37800687285223,34.64674870005765,5.731258172794583,59.380007452003575,1746.0,10.0,705.0
083008,Capizzi,29.65034965034965,32.20405304506291,-2.5537033947132635,97.91685588293774,715.0,3.0,212.0
083009,Capo d'Orlando,26.603034752814487,27.508352128027695,-0.9053173752132082,69.02684374212687,4086.0,25.0,1087.0
083010,Capri Leone,68.46213895394223,33.938720739532194,34.523418214410036,69.98106976175771,1281.0,5.0,877.0
083011,Caronia,28.263795423956932,32.802177303728364,-4.538381879771432,92.75347411822374,743.0,6.0,210.0
083012,Casalvecchio Siculo,69.11764705882354,57.36545082056765,11.752196238255884,29.75462594286811,204.0,0.0,141.0
083013,Castel di Lucio,35.534591194968556,34.86070796841753,0.6738832265510268,111.6366064156377,318.0,9.0,113.0
083014,Castell'Umberto,46.00484261501211,38.18374744390564,7.821095171106471,62.38846768434051,826.0,4.0,380.0
083015,Castelmola,70.6896551724138,50.57016267959016,20.119492492823632,40.84257665720908,290.0,0.0,205.0
083016,Castroreale,67.69509981851179,53.03200355993328,14.663096258578513,27.205157525733977,551.0,2.0,373.0
083017,Cesarò,36.80672268907563,35.90391938289399,0.9028033061816387,82.16287717089757,595.0,5.0,219.0
083018,Condrò,78.21782178217822,70.5744090027809,7.643412779397323,16.19302741923202,101.0,0.0,79.0
083019,Falcone,52.69121813031161,45.89909849935237,6.792119630959242,39.72097405653592,706.0,2.0,372.0
083020,Ficarra,54.08450704225352,43.645594090427274,10.438912951826246,59.84146115361823,355.0,1.0,192.0
083021,Fiumedinisi,46.71052631578947,61.8101184821503,-15.099592166360829,19.056713488951868,304.0,0.0,142.0
083022,Floresta,35.9375,50.1205155658528,-14.183015565852799,57.36747964657329,128.0,0.0,46.0
083023,Fondachelli-Fantina,39.6,54.2355811970245,-14.6355811970245,33.89312107198155,250.0,1.0,99.0
083024,Forza d'Agrò,60.714285714285715,55.08642934516424,5.627856369121474,33.39746535292761,224.0,0.0,136.0
083025,Francavilla di Sicilia,35.18716577540107,42.89772547038571,-7.710559694984639,43.562163915489776,935.0,2.0,329.0
083026,Frazzanò,69.28104575163398,46.51996013201095,22.76108561962303,68.05587599171727,153.0,2.0,106.0
083027,Furci Siculo,68.06451612903226,50.03906385637496,18.025452272657297,27.20065973464614,930.0,0.0,633.0
083028,Furnari,56.14754098360656,45.657003686276624,10.490537297329936,35.70079405279384,976.0,4.0,548.0
083029,Gaggi,68.77278250303766,43.99787845490117,24.77490404813649,42.50756963177265,823.0,0.0,566.0
083030,Galati Mamertino,44.14261460101868,39.258115310035855,4.8844992909828235,66.04869225806065,589.0,2.0,260.0
083031,Gallodoro,68.96551724137932,59.70269895394265,9.262818287436666,35.20473725225058,87.0,0.0,60.0
083032,Giardini-Naxos,51.814516129032256,37.106664364537025,14.707851764495231,44.16923930746374,2480.0,1.0,1285.0
083033,Gioiosa Marea,54.00866738894908,36.37757285418683,17.631094534762248,51.842722083239416,1846.0,9.0,997.0
083034,Graniti,63.2183908045977,49.7314711875435,13.486919617054205,40.29274366433738,348.0,0.0,220.0
083035,Gualtieri Sicaminò,76.4857881136951,63.68172226072752,12.804065852967575,15.363113291257081,387.0,1.0,296.0
083036,Itala,71.65354330708661,63.58098005327101,8.072563253815595,15.557826101354905,381.0,1.0,273.0
083037,Leni,39.87341772151899,45.313295321745215,-5.439877600226225,72.8250674012733,158.0,0.0,63.0
083038,Letojanni,53.30882352941177,46.60670409257934,6.702119436832426,35.87833892476072,816.0,0.0,435.0
083039,Librizzi,58.333333333333336,45.48655490097652,12.846778432356814,49.17411527419685,432.0,2.0,252.0
083040,Limina,54.76190476190476,58.53183150725815,-3.769926745353388,33.060993285138906,126.0,0.0,69.0
083041,Lipari,2.1945432977461445,30.57948774721701,-28.384944449470865,60.575023186128455,3372.0,2.0,74.0
