territorio,nome,treno,oltre_30_min,quota_fuori,km_capoluogo,pendolari,pendolari_fuori
083019,Falcone,2.584493041749503,33.59840954274354,50.578034682080926,39.72097405653592,692.0,503.0
083020,Ficarra,0.9803921568627451,41.50326797385621,51.851851851851855,59.84146115361823,405.0,306.0
083021,Fiumedinisi,6.2745098039215685,53.333333333333336,41.131105398457585,19.056713488951868,389.0,255.0
083022,Floresta,0.0,52.63157894736842,31.818181818181817,57.36747964657329,132.0,76.0
083023,Fondachelli-Fantina,0.6578947368421053,77.63157894736842,35.24590163934426,33.89312107198155,244.0,152.0
083024,Forza d'Agrò,4.694835680751174,36.61971830985915,56.68016194331984,33.39746535292761,247.0,213.0
083025,Francavilla di Sicilia,1.2903225806451613,47.74193548387097,32.06106870229008,43.562163915489776,1048.0,465.0
083026,Frazzanò,0.6289308176100629,29.559748427672957,58.44748858447488,68.05587599171727,219.0,159.0
083027,Furci Siculo,13.71069182389937,39.874213836477985,58.72210953346856,27.20065973464614,986.0,795.0
083028,Furnari,2.328966521106259,35.51673944687045,51.56794425087108,35.70079405279384,861.0,687.0
083029,Gaggi,2.816901408450704,26.47887323943662,66.3265306122449,42.50756963177265,784.0,710.0
083030,Galati Mamertino,1.1655011655011656,61.3053613053613,35.962566844919785,66.04869225806065,748.0,429.0
083031,Gallodoro,14.736842105263158,34.73684210526316,61.05263157894737,35.20473725225058,95.0,95.0
083032,Giardini-Naxos,6.009913258983891,28.748451053283766,45.504950495049506,44.16923930746374,2525.0,1614.0
083033,Gioiosa Marea,8.883082952318746,28.6740692357936,51.11228813559322,51.842722083239416,1888.0,1531.0
083034,Graniti,1.607717041800643,36.655948553054664,60.74498567335244,40.29274366433738,349.0,311.0
083035,Gualtieri Sicaminò,1.8648018648018647,27.972027972027973,71.25890736342043,15.363113291257081,421.0,429.0
083036,Itala,3.953488372093023,47.674418604651166,66.15384615384616,15.557826101354905,390.0,430.0
083037,Leni,0.0,38.73873873873874,36.612021857923494,72.8250674012733,183.0,111.0
083038,Letojanni,16.54275092936803,32.52788104089219,48.26700898587933,35.87833892476072,779.0,538.0
083039,Librizzi,0.27932960893854747,26.81564245810056,51.00222717149221,49.17411527419685,449.0,358.0
083040,Limina,6.666666666666667,76.0,54.32098765432099,33.060993285138906,162.0,150.0
083041,Lipari,0.0,91.869918699187,2.2383354350567464,60.575023186128455,3172.0,123.0
083042,Longi,1.1952191235059761,70.11952191235059,35.96287703016241,68.98909613120034,431.0,251.0
083043,Malfa,0.0,52.54237288135593,16.99604743083004,74.30298181096099,253.0,59.0
083044,Malvagna,0.0,33.51648351648352,62.814070351758794,49.01277908872338,199.0,182.0
083045,Mandanici,4.651162790697675,58.91472868217054,62.5,24.235233462873843,144.0,129.0
083046,Mazzarrà Sant'Andrea,0.6644518272425249,32.22591362126246,45.70135746606335,34.869360834405896,442.0,301.0
083047,Merì,0.5221932114882507,14.360313315926893,74.03560830860535,22.30037004177285,674.0,766.0
083048,Messina,4.62464696959108,78.87696247908538,7.044895846810713,0.0,61832.0,4865.02
083049,Milazzo,5.877413091747034,44.079422503938545,25.434091464905844,24.57069549280199,8178.0,2976.99
083050,Militello Rosmarino,1.8433179723502304,24.42396313364055,46.34146341463415,77.06236508828418,287.0,217.0
083051,Mirto,1.2121212121212122,28.484848484848484,43.75,67.23021348322494,256.0,165.0
083052,Mistretta,6.093189964157706,58.422939068100355,15.18578352180937,103.59395312951426,1238.0,279.0
083053,Moio Alcantara,0.0,28.985507246376812,46.79802955665025,50.408195534059736,203.0,138.0
083054,Monforte San Giorgio,1.6313213703099512,38.33605220228385,55.40166204986149,10.851624993520556,722.0,613.0
083055,Mongiuffi Melia,3.7037037037037037,40.74074074074074,56.81818181818182,37.159790002097694,176.0,135.0
083056,Montagnareale,2.035623409669211,24.681933842239186,63.72315035799522,50.67694012072946,419.0,393.0
083057,Montalbano Elicona,0.3968253968253968,64.68253968253968,28.79858657243816,46.69986180921738,566.0,252.0
083058,Motta Camastra,0.0,36.53846153846154,44.354838709677416,41.40395065691195,248.0,156.0
083059,Motta d'Affermo,6.293706293706293,25.174825174825173,50.0,107.46586856300004,166.0,143.0
083060,Naso,2.374301675977654,24.441340782122904,49.951409135082606,65.17818985673046,1029.0,716.0
083061,Nizza di Sicilia,15.987124463519313,43.347639484978544,65.34031413612566,22.102810341673745,955.0,932.0
083062,Novara di Sicilia,0.0,83.11688311688312,28.611898016997166,37.26052820344875,353.0,154.0
083063,Oliveri,10.833333333333334,31.944444444444443,43.1985294117647,41.86589209607267,544.0,360.0
083064,Pace del Mela,5.475504322766571,25.864553314121036,52.5383707201889,18.34182897096143,1694.0,1388.0
083065,Pagliara,9.863013698630137,33.97260273972603,79.16666666666667,26.12383911296347,288.0,365.0
083066,Patti,10.078277886497064,54.30528375733855,22.086720867208673,45.83625032657012,3690.0,1022.0
083067,Pettineo,18.571428571428573,47.142857142857146,34.13897280966767,108.91533413160884,331.0,210.0
083068,Piraino,3.3878504672897196,28.738317757009344,51.11507582515611,56.166425362488575,1121.0,856.0
083069,Raccuja,0.6172839506172839,55.55555555555556,39.0,54.37652597398992,300.0,162.0
083070,Reitano,3.875968992248062,19.37984496124031,44.067796610169495,105.04687975375565,177.0,129.0
083071,Roccafiorita,1.694915254237288,61.016949152542374,69.38775510204081,34.578525836131305,49.0,59.0
083072,Roccalumera,15.021459227467812,40.987124463519315,59.191530317613086,23.55079455135219,1039.0,932.0
083073,Roccavaldina,2.5157232704402515,32.075471698113205,74.91525423728814,11.556349120721475,295.0,318.0
083074,Roccella Valdemone,0.0,69.41176470588235,26.0,51.695401130081194,200.0,85.0
083075,Rodì Milici,1.444043321299639,27.256317689530686,63.42342342342342,32.38080063865006,555.0,554.0
083076,Rometta,5.816135084427767,33.95872420262664,65.55690072639226,8.820379640355624,1652.0,1599.0
083077,San Filippo del Mela,1.0900745840504877,18.416523235800344,63.24089178901577,20.63270355527845,1839.0,1743.0
083078,San Fratello,2.643171806167401,52.42290748898679,30.86021505376344,82.33572080816442,930.0,454.0
083079,San Marco d'Alunzio,1.3812154696132597,35.91160220994475,39.14421553090333,71.6016941838669,631.0,362.0
083080,San Pier Niceto,2.6578073089700998,30.564784053156146,55.57206537890045,13.710159517671558,673.0,602.0
083081,San Piero Patti,0.29673590504451036,57.27002967359051,30.451127819548873,50.98071816873512,798.0,337.0
083082,San Salvatore di Fitalia,1.0810810810810811,44.86486486486486,42.14046822742475,65.05043437210854,299.0,185.0
083083,Santa Domenica Vittoria,0.0,50.0,42.94294294294294,55.34466545205599,333.0,214.0
083084,Sant'Agata di Militello,9.671179883945841,45.64796905222437,24.891209747606613,78.49124547998969,3447.0,1034.0
083085,Sant'Alessio Siculo,13.15136476426799,42.18362282878412,67.28971962616822,31.76124665374456,428.0,403.0
083086,Santa Lucia del Mela,0.3115264797507788,27.725856697819314,54.34782608695652,20.305660787081028,1196.0,963.0
083087,Santa Marina Salina,0.0,39.583333333333336,13.461538461538462,71.06381113478224,156.0,48.0
083088,Sant'Angelo di Brolo,1.348747591522158,54.72061657032755,34.17305585980285,54.87332099481496,913.0,519.0
083089,Santa Teresa di Riva,17.064122946475887,46.63487016428193,53.60866078588613,28.457963700869392,2494.0,1887.0
083090,San Teodoro,0.0,47.44525547445255,60.691823899371066,81.3220083187817,318.0,274.0
083091,Santo Stefano di Camastra,17.699115044247787,42.69911504424779,29.543336439888165,102.51142541199981,1073.0,452.0
083092,Saponara,4.0966386554621845,40.23109243697479,63.1198347107438,5.961141501424035,968.0,952.0
083093,Savoca,10.105263157894736,30.105263157894736,67.31182795698925,28.711017205943783,465.0,475.0
083094,Scaletta Zanclea,14.392523364485982,45.981308411214954,66.20553359683794,14.481173329533764,506.0,535.0
083095,Sinagra,1.7278617710583153,42.980561555075596,37.92270531400966,58.78771168365035,828.0,463.0
083096,Spadafora,5.855018587360595,37.0817843866171,61.9520264681555,11.159857077937872,1209.0,1076.0
083097,Taormina,8.428860418071476,36.480107889413354,27.29185452359483,41.88554600336493,3327.0,1483.0
083098,Torregrotta,3.720663995420721,29.765311963365768,65.60818083961249,14.67250874935844,1858.0,1747.0
083099,Tortorici,0.37082818294190356,57.601977750309025,28.900255754475705,61.47852114356688,1955.0,809.0
083100,Tripi,0.7407407407407407,52.592592592592595,31.192660550458715,40.77756006678183,218.0,135.0
083101,Tusa,19.363395225464192,68.43501326259947,37.11340206185567,113.62087013396791,582.0,377.0
083102,Ucria,0.0,67.58620689655173,31.73431734317343,57.4338861126426,271.0,145.0
083103,Valdina,1.1204481792717087,27.45098039215686,68.55524079320114,13.617687101707103,353.0,357.0
083104,Venetico,2.679528403001072,35.69131832797428,63.62649294245386,12.41996175517461,921.0,933.0
083105,Villafranca Tirrena,4.172461752433936,35.51228558182661,63.14102564102564,6.414628672027711,2184.0,2157.0
083106,Terme Vigliatore,2.2480058013052937,27.773749093546048,41.225902125556104,31.883868397670945,2023.0,1379.0
083107,Acquedolci,3.620352250489237,21.91780821917808,47.85819793205317,82.48245065466956,1354.0,1022.0
083108,Torrenova,2.641509433962264,15.943396226415095,56.04304635761589,72.46379093036742,1208.0,1060.0
084001,Agrigento,1.623246824046388,37.184676127071185,17.144984432110466,0.0,14774.0,3026.65
084002,Alessandria della Rocca,0.0,28.481012658227847,34.23913043478261,26.803107170624827,552.0,316.0
084003,Aragona,2.150537634408602,19.17562724014337,45.94931449937682,11.516643695104923,2407.0,1674.0
084004,Bivona,0.0,44.5945945945946,25.419354838709676,32.431637716896134,775.0,222.0
084005,Burgio,0.0,53.0791788856305,31.492537313432837,42.67336558088663,670.0,341.0
084006,Calamonaci,0.0,13.54581673306773,53.0,32.65780347788259,300.0,251.0
084007,Caltabellotta,0.0,44.92099322799097,30.81761006289308,42.892622034564404,795.0,443.0
084008,Camastra,0.0,17.59776536312849,47.75160599571735,21.047634831495913,467.0,358.0
084009,Cammarata,1.9583843329253365,38.06609547123623,37.34353268428373,38.04881019164725,1438.0,817.0
084010,Campobello di Licata,0.3058103975535168,29.25586136595311,30.041365046535677,29.750243444382097,1934.0,981.0
084011,Canicattì,1.2631047113805736,50.79425227208478,16.660117878192533,23.27404000168428,7635.0,1662.57
084012,Casteltermini,5.61941251596424,70.11494252873563,32.30429988974642,23.17270387762291,1814.0,783.0
084013,Castrofilippo,0.2724795640326976,19.618528610354222,36.10223642172524,15.40709083506682,626.0,367.0
084014,Cattolica Eraclea,0.22573363431151242,56.433408577878104,32.994923857868024,22.877325411857043,788.0,443.0
084015,Cianciana,0.0,50.0,32.26238286479251,24.62169825580681,747.0,402.0
084016,Comitini,0.42016806722689076,7.563025210084033,59.030837004405285,11.860478658131804,227.0,238.0
084017,Favara,3.381947576805493,27.405152107452512,43.804284887087434,7.438016536685033,6908.0,3990.6
084018,Grotte,27.648839556004038,27.144298688193743,51.65562913907285,14.923340946316277,1208.0,991.0
084019,Joppolo Giancaxio,0.3816793893129771,14.122137404580153,64.66431095406361,7.545911210715377,283.0,262.0
084020,Lampedusa e Linosa,100.0,100.0,0.0,219.11067702191056,1384.0,1.0
084021,Licata,1.73673824336076,63.496722188775166,12.611692621904519,34.235653053505494,7834.0,1195.92
084022,Lucca Sicula,0.0,40.97560975609756,52.5328330206379,34.92392661199482,533.0,410.0
084023,Menfi,0.3516998827667057,35.052754982415,21.21684867394696,62.74396280918189,2564.0,853.0
084024,Montallegro,0.0,40.63324538258575,43.392857142857146,20.633720411016526,560.0,379.0
084025,Montevago,0.2178649237472767,39.869281045751634,48.16053511705686,69.41243494504425,598.0,459.0
084026,Naro,0.14388489208633093,26.33093525179856,26.14213197969543,16.012396510204212,1576.0,695.0
084027,Palma di Montechiaro,0.26876677065381005,39.023975217609454,35.8803271631511,22.02154165811286,4646.0,2291.9500000000003
084028,Porto Empedocle,0.33460803059273425,21.797323135755256,42.18703316402749,7.547705611641196,3347.0,2092.0
084029,Racalmuto,13.80186282811177,29.297205757832344,42.280701754385966,17.61443399601588,1710.0,1181.0
084030,Raffadali,1.5088013411567478,29.08633696563286,52.652652652652655,10.765298927572797,2997.0,2386.0
