territorio,anno,genere,eta,stato_civile,cittadinanza,valore
082006,2001,M,Y85-89,ALL,TOTAL,166
082006,2011,M,Y85-89,ALL,TOTAL,264
082006,2018,M,Y85-89,ALL,TOTAL,317
082006,2019,M,Y85-89,ALL,TOTAL,323
082006,2020,M,Y85-89,ALL,TOTAL,324
082006,2021,M,Y85-89,ALL,TOTAL,318
082006,2022,M,Y85-89,ALL,TOTAL,333
082006,2023,M,Y85-89,ALL,TOTAL,372
082006,2024,M,Y85-89,ALL,TOTAL,391
082006,2001,M,Y90-94,ALL,TOTAL,37
082006,2011,M,Y90-94,ALL,TOTAL,61
082006,2018,M,Y90-94,ALL,TOTAL,108
082006,2019,M,Y90-94,ALL,TOTAL,107
082006,2020,M,Y90-94,ALL,TOTAL,103
082006,2021,M,Y90-94,ALL,TOTAL,129
082006,2022,M,Y90-94,ALL,TOTAL,129
082006,2023,M,Y90-94,ALL,TOTAL,129
082006,2024,M,Y90-94,ALL,TOTAL,120
082006,2001,M,Y95-99,ALL,TOTAL,9
082006,2011,M,Y95-99,ALL,TOTAL,9
082006,2018,M,Y95-99,ALL,TOTAL,14
082006,2019,M,Y95-99,ALL,TOTAL,20
082006,2020,M,Y95-99,ALL,TOTAL,18
082006,2021,M,Y95-99,ALL,TOTAL,19
082006,2022,M,Y95-99,ALL,TOTAL,23
082006,2023,M,Y95-99,ALL,TOTAL,18
082006,2024,M,Y95-99,ALL,TOTAL,26
082006,2001,T,TOTAL,ALL,TOTAL,50854
082006,2011,T,TOTAL,ALL,TOTAL,54257
082006,2018,T,TOTAL,ALL,TOTAL,53714
082006,2019,T,TOTAL,ALL,TOTAL,53409
082006,2020,T,TOTAL,ALL,TOTAL,53025
082006,2021,T,TOTAL,ALL,TOTAL,53221
082006,2022,T,TOTAL,ALL,TOTAL,53107
082006,2023,T,TOTAL,ALL,TOTAL,53010
082006,2024,T,TOTAL,ALL,TOTAL,53100
082006,2001,T,Y_GE100,ALL,TOTAL,2
082006,2011,T,Y_GE100,ALL,TOTAL,9
082006,2018,T,Y_GE100,ALL,TOTAL,9
082006,2019,T,Y_GE100,ALL,TOTAL,5
082006,2020,T,Y_GE100,ALL,TOTAL,10
082006,2021,T,Y_GE100,ALL,TOTAL,13
