origine,genere,motivo,luogo,verso_palermo,mezzo,orario,durata,stima
081001,M,lavoro,dentro,False,auto privata (conducente),8:15-9:14,16-30 min,107.76
081001,M,lavoro,dentro,False,auto privata (conducente),8:15-9:14,31-60 min,12.19
081001,M,lavoro,dentro,False,auto privata (conducente),8:15-9:14,fino a 15 min,582.57
081001,M,lavoro,dentro,False,auto privata (conducente),8:15-9:14,oltre 60 min,1.0
081001,M,lavoro,dentro,False,auto privata (conducente),dopo le 9:14,16-30 min,30.68
081001,M,lavoro,dentro,False,auto privata (conducente),dopo le 9:14,31-60 min,5.31
081001,M,lavoro,dentro,False,auto privata (conducente),dopo le 9:14,fino a 15 min,171.76
081001,M,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,16-30 min,387.86
081001,M,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,31-60 min,98.04
081001,M,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,fino a 15 min,934.35
081001,M,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,oltre 60 min,37.17
081001,M,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,16-30 min,25.62
081001,M,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,31-60 min,4.84
081001,M,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,fino a 15 min,87.43
081001,M,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,oltre 60 min,2.77
081001,M,lavoro,dentro,False,auto privata (passeggero),8:15-9:14,16-30 min,5.54
081001,M,lavoro,dentro,False,auto privata (passeggero),8:15-9:14,31-60 min,2.31
081001,M,lavoro,dentro,False,auto privata (passeggero),8:15-9:14,fino a 15 min,29.83
081001,M,lavoro,dentro,False,auto privata (passeggero),dopo le 9:14,16-30 min,4.93
081001,M,lavoro,dentro,False,auto privata (passeggero),dopo le 9:14,fino a 15 min,12.98
081001,M,lavoro,dentro,False,auto privata (passeggero),prima delle 7:15,16-30 min,78.32
081001,M,lavoro,dentro,False,auto privata (passeggero),prima delle 7:15,31-60 min,41.86
081001,M,lavoro,dentro,False,auto privata (passeggero),prima delle 7:15,fino a 15 min,77.74
081001,M,lavoro,dentro,False,auto privata (passeggero),prima delle 7:15,oltre 60 min,9.89
081001,M,lavoro,dentro,False,autobus aziendale o scolastico,7:15-8:14,fino a 15 min,4.9
081001,M,lavoro,dentro,False,autobus aziendale o scolastico,8:15-9:14,fino a 15 min,4.45
081001,M,lavoro,dentro,False,autobus aziendale o scolastico,prima delle 7:15,16-30 min,12.36
081001,M,lavoro,dentro,False,autobus aziendale o scolastico,prima delle 7:15,31-60 min,4.88
081001,M,lavoro,dentro,False,autobus aziendale o scolastico,prima delle 7:15,fino a 15 min,12.54
081001,M,lavoro,dentro,False,"autobus urbano, filobus",7:15-8:14,16-30 min,2.21
081001,M,lavoro,dentro,False,"autobus urbano, filobus",8:15-9:14,16-30 min,1.96
081001,M,lavoro,dentro,False,"autobus urbano, filobus",prima delle 7:15,fino a 15 min,1.0
081001,M,lavoro,dentro,False,"autobus urbano, filobus",prima delle 7:15,oltre 60 min,4.8
081001,M,lavoro,dentro,False,bicicletta,7:15-8:14,16-30 min,3.29
081001,M,lavoro,dentro,False,bicicletta,7:15-8:14,fino a 15 min,22.18
081001,M,lavoro,dentro,False,bicicletta,8:15-9:14,fino a 15 min,3.68
081001,M,lavoro,dentro,False,bicicletta,prima delle 7:15,fino a 15 min,16.25
081001,M,lavoro,dentro,False,"corriera, autobus extra-urbano",7:15-8:14,31-60 min,2.22
081001,M,lavoro,dentro,False,"corriera, autobus extra-urbano",8:15-9:14,fino a 15 min,2.65
081001,M,lavoro,dentro,False,"corriera, autobus extra-urbano",prima delle 7:15,31-60 min,4.8
081001,M,lavoro,dentro,False,"corriera, autobus extra-urbano",prima delle 7:15,fino a 15 min,2.04
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",7:15-8:14,16-30 min,9.16
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",7:15-8:14,fino a 15 min,92.48
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",8:15-9:14,16-30 min,1.8
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",8:15-9:14,fino a 15 min,29.21
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",dopo le 9:14,fino a 15 min,10.28
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",prima delle 7:15,16-30 min,3.26
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",prima delle 7:15,fino a 15 min,20.83
