territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081002,2023,T,Y_GE15,TOTAL,ALL,4,342.24829130075767
081002,2024,T,Y_GE15,TOTAL,ALL,4,356.9254084167274
081002,2018,T,Y_GE15,TOTAL,ALL,5,207.0
081002,2019,T,Y_GE15,TOTAL,ALL,5,214.0
081002,2021,T,Y_GE15,TOTAL,ALL,5,227.393010141756
081002,2022,T,Y_GE15,TOTAL,ALL,5,237.183573352399
081002,2023,T,Y_GE15,TOTAL,ALL,5,220.6195336616948
081002,2024,T,Y_GE15,TOTAL,ALL,5,209.67016022883425
081002,2018,T,Y_GE15,TOTAL,ALL,7,229.0
081002,2019,T,Y_GE15,TOTAL,ALL,7,214.0
081002,2021,T,Y_GE15,TOTAL,ALL,7,245.451603034936
081002,2022,T,Y_GE15,TOTAL,ALL,7,198.37502900976
081002,2023,T,Y_GE15,TOTAL,ALL,7,220.9585573497745
081002,2024,T,Y_GE15,TOTAL,ALL,7,226.1437357923167
081002,2018,T,Y_GE15,TOTAL,ALL,99,2481.0
081002,2019,T,Y_GE15,TOTAL,ALL,99,2441.0
081002,2021,T,Y_GE15,TOTAL,ALL,99,2473.0
081002,2022,T,Y_GE15,TOTAL,ALL,99,2457.0
081002,2023,T,Y_GE15,TOTAL,ALL,99,2435.0
081002,2024,T,Y_GE15,TOTAL,ALL,99,2435.0
081003,2018,F,Y_GE15,TOTAL,ALL,1,610.0
081003,2019,F,Y_GE15,TOTAL,ALL,1,658.0
081003,2021,F,Y_GE15,TOTAL,ALL,1,695.0
081003,2022,F,Y_GE15,TOTAL,ALL,1,719.0
081003,2023,F,Y_GE15,TOTAL,ALL,1,746.0
081003,2024,F,Y_GE15,TOTAL,ALL,1,791.0
081003,2018,F,Y_GE15,TOTAL,ALL,12,302.0
081003,2019,F,Y_GE15,TOTAL,ALL,12,307.0
081003,2021,F,Y_GE15,TOTAL,ALL,12,147.842667576149
081003,2022,F,Y_GE15,TOTAL,ALL,12,163.842237456712
081003,2023,F,Y_GE15,TOTAL,ALL,12,170.98402109195618
081003,2024,F,Y_GE15,TOTAL,ALL,12,116.44158073158388
