territorio,anno,eta,classe,genere,occupati,popolazione,tasso_occupazione
IT,2023,Y50-64,50-64,M,5127807.0,6819589.0,75.1923173082718
IT,2024,Y50-64,50-64,M,5243233.0,6877044.0,76.24253967256863
IT,2018,Y_GE15,15+ (totale),M,13492215.0,25080876.0,53.794831568083985
IT,2019,Y_GE15,15+ (totale),M,13630443.0,25074209.0,54.36041073120193
IT,2021,Y_GE15,15+ (totale),M,13565239.0,24966970.0,54.332740416638465
IT,2022,Y_GE15,15+ (totale),M,13710412.0,25037544.0,54.75941250467697
IT,2023,Y_GE15,15+ (totale),M,13944536.0,25149877.0,55.445742339018196
IT,2024,Y_GE15,15+ (totale),M,14094911.0,25260310.0,55.79864617655128
IT,2018,Y_GE65,65+,M,662541.0,5955071.0,11.125660802364909
IT,2019,Y_GE65,65+,M,731625.0,6044478.0,12.104022878402404
IT,2021,Y_GE65,65+,M,616903.0,6163225.0,10.009418770205533
IT,2022,Y_GE65,65+,M,660620.0,6235973.0,10.59369564300551
IT,2023,Y_GE65,65+,M,718481.0,6332624.0,11.345707561352135
IT,2024,Y_GE65,65+,M,760087.0,6451202.0,11.78209890187906
IT,2018,Y15-24,15-24,T,1071824.0,5835983.0,18.365783450705734
IT,2019,Y15-24,15-24,T,1102206.0,5826944.0,18.915678613008808
IT,2021,Y15-24,15-24,T,1162418.0,5789458.0,20.07818348453344
IT,2022,Y15-24,15-24,T,1252712.0,5833452.0,21.474626001893903
IT,2023,Y15-24,15-24,T,1284391.0,5871620.0,21.87455932093698
IT,2024,Y15-24,15-24,T,1319460.0,5911708.0,22.319437969534356
IT,2018,Y25-49,25-49,T,13282263.0,19308143.0,68.79099144853029
IT,2019,Y25-49,25-49,T,13191199.0,18920355.0,69.7196167830889
IT,2021,Y25-49,25-49,T,12972350.0,18103820.0,71.6553191536372
IT,2022,Y25-49,25-49,T,12946752.0,17873997.0,72.4334461956103
IT,2023,Y25-49,25-49,T,13036279.0,17644346.0,73.88360554706873
IT,2024,Y25-49,25-49,T,12999937.0,17403311.0,74.69806751140631
IT,2018,Y50-64,50-64,T,8057607.0,13107445.0,61.473513716822765
IT,2019,Y50-64,50-64,T,8278066.0,13307545.0,62.20580880996457
IT,2021,Y50-64,50-64,T,8582948.0,13595656.0,63.13007625376812
IT,2022,Y50-64,50-64,T,8754939.0,13764356.0,63.605874477527315
IT,2023,Y50-64,50-64,T,9106426.0,13912261.0,65.45611816799584
IT,2024,Y50-64,50-64,T,9366952.0,14028529.0,66.77073554896597
IT,2018,Y_GE15,15+ (totale),T,23378110.0,51944786.0,45.005691235305115
IT,2019,Y_GE15,15+ (totale),T,23662475.0,51913934.0,45.580200105813596
IT,2021,Y_GE15,15+ (totale),T,23632617.0,51540338.0,45.85266204501802
IT,2022,Y_GE15,15+ (totale),T,23953736.0,51653102.0,46.37424486142188
IT,2023,Y_GE15,15+ (totale),T,24500649.0,51784963.0,47.31228445601091
IT,2024,Y_GE15,15+ (totale),T,24837842.0,51923415.0,47.835532389385406
IT,2018,Y_GE65,65+,T,966416.0,13693215.0,7.057626715128624
IT,2019,Y_GE65,65+,T,1091004.0,13859090.0,7.872118587872652
IT,2021,Y_GE65,65+,T,914901.0,14051404.0,6.511100243078912
IT,2022,Y_GE65,65+,T,999333.0,14181297.0,7.046837817443637
IT,2023,Y_GE65,65+,T,1073553.0,14356736.0,7.477695487330825
IT,2024,Y_GE65,65+,T,1151493.0,14579867.0,7.89782924631617
ITG1,2018,Y15-24,15-24,F,19411.0,258223.0,7.517146032692673
ITG1,2019,Y15-24,15-24,F,20244.0,254307.0,7.960457242624073
