territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082023,2021,F,Y34,34.0,ALL,TOTAL,75
082023,2022,F,Y34,34.0,ALL,TOTAL,61
082023,2023,F,Y34,34.0,ALL,TOTAL,70
082023,2024,F,Y34,34.0,ALL,TOTAL,79
082023,2021,F,Y35,35.0,ALL,FRGAPO,2
082023,2024,F,Y35,35.0,ALL,FRGAPO,1
082023,2021,F,Y35,35.0,ALL,ITL,67
082023,2022,F,Y35,35.0,ALL,ITL,81
082023,2023,F,Y35,35.0,ALL,ITL,63
082023,2024,F,Y35,35.0,ALL,ITL,72
082023,2021,F,Y35,35.0,ALL,TOTAL,69
082023,2022,F,Y35,35.0,ALL,TOTAL,81
082023,2023,F,Y35,35.0,ALL,TOTAL,63
082023,2024,F,Y35,35.0,ALL,TOTAL,73
082023,2021,F,Y36,36.0,ALL,FRGAPO,3
082023,2022,F,Y36,36.0,ALL,FRGAPO,3
082023,2021,F,Y36,36.0,ALL,ITL,81
082023,2022,F,Y36,36.0,ALL,ITL,66
082023,2023,F,Y36,36.0,ALL,ITL,76
082023,2024,F,Y36,36.0,ALL,ITL,62
082023,2021,F,Y36,36.0,ALL,TOTAL,84
082023,2022,F,Y36,36.0,ALL,TOTAL,69
082023,2023,F,Y36,36.0,ALL,TOTAL,76
082023,2024,F,Y36,36.0,ALL,TOTAL,62
082023,2021,F,Y37,37.0,ALL,FRGAPO,2
082023,2022,F,Y37,37.0,ALL,FRGAPO,3
082023,2023,F,Y37,37.0,ALL,FRGAPO,3
082023,2021,F,Y37,37.0,ALL,ITL,76
082023,2022,F,Y37,37.0,ALL,ITL,80
082023,2023,F,Y37,37.0,ALL,ITL,67
082023,2024,F,Y37,37.0,ALL,ITL,76
082023,2021,F,Y37,37.0,ALL,TOTAL,78
082023,2022,F,Y37,37.0,ALL,TOTAL,83
082023,2023,F,Y37,37.0,ALL,TOTAL,70
082023,2024,F,Y37,37.0,ALL,TOTAL,76
082023,2022,F,Y38,38.0,ALL,FRGAPO,3
082023,2023,F,Y38,38.0,ALL,FRGAPO,3
082023,2024,F,Y38,38.0,ALL,FRGAPO,3
082023,2021,F,Y38,38.0,ALL,ITL,61
082023,2022,F,Y38,38.0,ALL,ITL,78
082023,2023,F,Y38,38.0,ALL,ITL,81
082023,2024,F,Y38,38.0,ALL,ITL,67
