territorio,anno,eta,genere,popolazione,almeno_diploma_%,solo_diploma_%,terziario_%,nome_territorio,ruolo
IT,2019,Y9-24,T,9216150.0,31.6013,28.3954,3.2059,Italia,confronto
IT,2019,Y_GE65,F,7814612.0,24.9052,18.4143,6.4908,Italia,confronto
IT,2019,Y_GE65,M,6044478.0,34.4696,24.6319,9.8377,Italia,confronto
IT,2019,Y_GE65,T,13859090.0,29.0766,21.126,7.9506,Italia,confronto
IT,2020,Y25-49,F,9177408.0,75.9422,45.2523,30.6898,Italia,confronto
IT,2020,Y25-49,M,9278640.0,69.3983,48.2046,21.1937,Italia,confronto
IT,2020,Y25-49,T,18456048.0,72.6523,46.7366,25.9157,Italia,confronto
IT,2020,Y50-64,F,6848378.0,56.4293,41.3345,15.0948,Italia,confronto
IT,2020,Y50-64,M,6539358.0,53.2512,39.757,13.4942,Italia,confronto
IT,2020,Y50-64,T,13387736.0,54.8769,40.564,14.313,Italia,confronto
IT,2020,Y9-24,F,4428706.0,32.9626,28.9231,4.0395,Italia,confronto
IT,2020,Y9-24,M,4768837.0,30.8648,27.7649,3.0999,Italia,confronto
IT,2020,Y9-24,T,9197543.0,31.8749,28.3226,3.5523,Italia,confronto
IT,2020,Y_GE65,F,7848397.0,26.5772,19.6193,6.9579,Italia,confronto
IT,2020,Y_GE65,M,6093134.0,36.193,25.9317,10.2613,Italia,confronto
IT,2020,Y_GE65,T,13941531.0,30.7798,22.3781,8.4016,Italia,confronto
IT,2021,Y25-49,F,8974915.0,76.9712,44.9064,32.0647,Italia,confronto
IT,2021,Y25-49,M,9128905.0,70.3063,48.3052,22.0011,Italia,confronto
IT,2021,Y25-49,T,18103820.0,73.6104,46.6203,26.9901,Italia,confronto
IT,2021,Y50-64,F,6935237.0,57.4337,41.7462,15.6875,Italia,confronto
IT,2021,Y50-64,M,6660419.0,53.7059,39.992,13.7138,Italia,confronto
IT,2021,Y50-64,T,13595656.0,55.6075,40.8868,14.7206,Italia,confronto
IT,2021,Y9-24,F,4404849.0,33.814,29.1716,4.6425,Italia,confronto
IT,2021,Y9-24,M,4743512.0,31.8955,28.3791,3.5164,Italia,confronto
IT,2021,Y9-24,T,9148361.0,32.8193,28.7607,4.0586,Italia,confronto
IT,2021,Y_GE65,F,7888179.0,27.8894,20.5184,7.371,Italia,confronto
IT,2021,Y_GE65,M,6163225.0,37.5255,26.9146,10.6109,Italia,confronto
IT,2021,Y_GE65,T,14051404.0,32.116,23.3239,8.7921,Italia,confronto
IT,2022,Y25-49,F,8851166.0,78.1032,45.0081,33.0951,Italia,confronto
IT,2022,Y25-49,M,9022831.0,71.6692,48.815,22.8542,Italia,confronto
IT,2022,Y25-49,T,17873997.0,74.8553,46.9299,27.9254,Italia,confronto
IT,2022,Y50-64,F,7022824.0,59.1506,42.6485,16.5021,Italia,confronto
IT,2022,Y50-64,M,6741532.0,55.0216,40.7942,14.2274,Italia,confronto
IT,2022,Y50-64,T,13764356.0,57.1283,41.7403,15.388,Italia,confronto
IT,2022,Y9-24,F,4402407.0,34.349,29.5304,4.8186,Italia,confronto
IT,2022,Y9-24,M,4740562.0,32.3447,28.7149,3.6298,Italia,confronto
IT,2022,Y9-24,T,9142969.0,33.3098,29.1076,4.2022,Italia,confronto
IT,2022,Y_GE65,F,7945324.0,29.9611,22.0676,7.8934,Italia,confronto
IT,2022,Y_GE65,M,6235973.0,39.4531,28.3741,11.079,Italia,confronto
IT,2022,Y_GE65,T,14181297.0,34.135,24.8408,9.2942,Italia,confronto
IT,2023,Y25-49,F,8706662.0,78.5265,44.7879,33.7386,Italia,confronto
IT,2023,Y25-49,M,8937684.0,72.1393,48.8959,23.2434,Italia,confronto
IT,2023,Y25-49,T,17644346.0,75.2911,46.8688,28.4223,Italia,confronto
IT,2023,Y50-64,F,7092672.0,60.0778,42.6612,17.4165,Italia,confronto
IT,2023,Y50-64,M,6819589.0,55.662,40.9899,14.6721,Italia,confronto
IT,2023,Y50-64,T,13912261.0,57.9132,41.842,16.0713,Italia,confronto
IT,2023,Y9-24,F,4391057.0,33.9815,29.5049,4.4766,Italia,confronto
IT,2023,Y9-24,M,4736069.0,31.8826,28.4153,3.4673,Italia,confronto
IT,2023,Y9-24,T,9127126.0,32.8924,28.9395,3.9529,Italia,confronto
IT,2023,Y_GE65,F,8024112.0,31.474,22.9332,8.5407,Italia,confronto
IT,2023,Y_GE65,M,6332624.0,40.8453,29.307,11.5383,Italia,confronto
IT,2023,Y_GE65,T,14356736.0,35.6076,25.7446,9.8629,Italia,confronto
IT,2024,Y25-49,F,8559987.0,79.1445,44.4063,34.7383,Italia,confronto
IT,2024,Y25-49,M,8843324.0,72.7206,48.7612,23.9594,Italia,confronto
IT,2024,Y25-49,T,17403311.0,75.8803,46.6192,29.2611,Italia,confronto
IT,2024,Y50-64,F,7151485.0,61.1683,42.9797,18.1885,Italia,confronto
IT,2024,Y50-64,M,6877044.0,56.4028,41.3642,15.0386,Italia,confronto
IT,2024,Y50-64,T,14028529.0,58.8321,42.1878,16.6444,Italia,confronto
IT,2024,Y9-24,F,4371642.0,34.4848,29.9291,4.5557,Italia,confronto
IT,2024,Y9-24,M,4732165.0,32.3404,28.8881,3.4524,Italia,confronto
IT,2024,Y9-24,T,9103807.0,33.3701,29.388,3.9822,Italia,confronto
IT,2024,Y_GE65,F,8128665.0,33.1389,24.1631,8.9759,Italia,confronto
IT,2024,Y_GE65,M,6451202.0,42.1754,30.3555,11.82,Italia,confronto
IT,2024,Y_GE65,T,14579867.0,37.1373,26.9031,10.2343,Italia,confronto
ITG1,2018,Y25-49,F,807985.0,64.0615,41.2898,22.7717,Sicilia,confronto
ITG1,2018,Y25-49,M,804917.0,58.7018,42.975,15.7268,Sicilia,confronto
ITG1,2018,Y25-49,T,1612902.0,61.3867,42.1308,19.256,Sicilia,confronto
ITG1,2018,Y50-64,F,540698.0,43.4964,31.0441,12.4522,Sicilia,confronto
ITG1,2018,Y50-64,M,499758.0,44.0765,31.6625,12.414,Sicilia,confronto
ITG1,2018,Y50-64,T,1040456.0,43.775,31.3412,12.4339,Sicilia,confronto
ITG1,2018,Y9-24,F,400082.0,31.3378,28.3682,2.9696,Sicilia,confronto
ITG1,2018,Y9-24,M,430732.0,27.762,25.6761,2.086,Sicilia,confronto
ITG1,2018,Y9-24,T,830814.0,29.484,26.9725,2.5115,Sicilia,confronto
ITG1,2018,Y_GE65,F,584899.0,20.9785,14.4225,6.556,Sicilia,confronto
ITG1,2018,Y_GE65,M,455649.0,28.1214,18.6791,9.4424,Sicilia,confronto
ITG1,2018,Y_GE65,T,1040548.0,24.1063,16.2864,7.8199,Sicilia,confronto
ITG1,2019,Y25-49,F,789516.0,64.9873,42.0867,22.9006,Sicilia,confronto
ITG1,2019,Y25-49,M,787179.0,59.287,43.672,15.615,Sicilia,confronto
ITG1,2019,Y25-49,T,1576695.0,62.1414,42.8782,19.2632,Sicilia,confronto
ITG1,2019,Y50-64,F,545678.0,44.3672,31.7609,12.6063,Sicilia,confronto
ITG1,2019,Y50-64,M,505158.0,44.7159,32.3596,12.3563,Sicilia,confronto
ITG1,2019,Y50-64,T,1050836.0,44.5348,32.0487,12.4862,Sicilia,confronto
ITG1,2019,Y9-24,F,394025.0,31.1577,28.5756,2.5821,Sicilia,confronto
ITG1,2019,Y9-24,M,422816.0,27.6742,25.7393,1.9349,Sicilia,confronto
ITG1,2019,Y9-24,T,816841.0,29.3546,27.1075,2.2471,Sicilia,confronto
ITG1,2019,Y_GE65,F,592650.0,22.2912,15.2817,7.0095,Sicilia,confronto
ITG1,2019,Y_GE65,M,463560.0,29.5429,19.8067,9.7362,Sicilia,confronto
