territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081002,2023,M,Y15-24,TOTAL,ALL,1,40.0
081002,2024,M,Y15-24,TOTAL,ALL,1,42.0
081002,2018,M,Y15-24,TOTAL,ALL,12,21.0
081002,2019,M,Y15-24,TOTAL,ALL,12,21.0
081002,2021,M,Y15-24,TOTAL,ALL,12,18.0844249680483
081002,2022,M,Y15-24,TOTAL,ALL,12,12.8570849713902
081002,2023,M,Y15-24,TOTAL,ALL,12,13.012200140783944
081002,2024,M,Y15-24,TOTAL,ALL,12,12.006147302356132
081002,2018,M,Y15-24,TOTAL,ALL,22,47.0
081002,2019,M,Y15-24,TOTAL,ALL,22,46.0
081002,2021,M,Y15-24,TOTAL,ALL,22,39.0844249680483
081002,2022,M,Y15-24,TOTAL,ALL,22,42.8570849713902
081002,2023,M,Y15-24,TOTAL,ALL,22,53.012200140783946
081002,2024,M,Y15-24,TOTAL,ALL,22,54.00614730235613
081002,2018,M,Y15-24,TOTAL,ALL,23,115.0
081002,2019,M,Y15-24,TOTAL,ALL,23,105.0
081002,2021,M,Y15-24,TOTAL,ALL,23,129.915575031952
081002,2022,M,Y15-24,TOTAL,ALL,23,124.14291502861
081002,2023,M,Y15-24,TOTAL,ALL,23,114.98779985921604
081002,2024,M,Y15-24,TOTAL,ALL,23,110.99385269764386
081002,2018,M,Y15-24,TOTAL,ALL,24,1.0
081002,2019,M,Y15-24,TOTAL,ALL,24,1.0
081002,2021,M,Y15-24,TOTAL,ALL,24,0.608059697644494
081002,2022,M,Y15-24,TOTAL,ALL,24,0.781381077492321
081002,2023,M,Y15-24,TOTAL,ALL,24,0.8655028289619874
081002,2024,M,Y15-24,TOTAL,ALL,24,0.6492925488402387
081002,2018,M,Y15-24,TOTAL,ALL,4,1.0
081002,2019,M,Y15-24,TOTAL,ALL,4,0.0
081002,2021,M,Y15-24,TOTAL,ALL,4,4.1260013358038
081002,2022,M,Y15-24,TOTAL,ALL,4,1.40997850313249
081002,2023,M,Y15-24,TOTAL,ALL,4,1.137169340442709
081002,2024,M,Y15-24,TOTAL,ALL,4,1.4460864487338738
081002,2018,M,Y15-24,TOTAL,ALL,5,85.0
081002,2019,M,Y15-24,TOTAL,ALL,5,86.0
081002,2021,M,Y15-24,TOTAL,ALL,5,98.9274429943407
081002,2022,M,Y15-24,TOTAL,ALL,5,104.640403720183
081002,2023,M,Y15-24,TOTAL,ALL,5,95.9427272480609
081002,2024,M,Y15-24,TOTAL,ALL,5,89.42325847002694
081002,2018,M,Y15-24,TOTAL,ALL,7,28.0
081002,2019,M,Y15-24,TOTAL,ALL,7,18.0
081002,2021,M,Y15-24,TOTAL,ALL,7,26.2540710041627
081002,2022,M,Y15-24,TOTAL,ALL,7,17.3111517278015
081002,2023,M,Y15-24,TOTAL,ALL,7,17.042400441750452
081002,2024,M,Y15-24,TOTAL,ALL,7,19.475215230042814
081002,2018,M,Y15-24,TOTAL,ALL,99,162.0
081002,2019,M,Y15-24,TOTAL,ALL,99,151.0
081002,2021,M,Y15-24,TOTAL,ALL,99,169.0
081002,2022,M,Y15-24,TOTAL,ALL,99,167.0
081002,2023,M,Y15-24,TOTAL,ALL,99,168.0
081002,2024,M,Y15-24,TOTAL,ALL,99,165.0
081002,2018,T,Y15-24,TOTAL,ALL,1,39.0
081002,2019,T,Y15-24,TOTAL,ALL,1,39.0
081002,2021,T,Y15-24,TOTAL,ALL,1,40.0
081002,2022,T,Y15-24,TOTAL,ALL,1,50.0
081002,2023,T,Y15-24,TOTAL,ALL,1,67.0
081002,2024,T,Y15-24,TOTAL,ALL,1,64.0
081002,2018,T,Y15-24,TOTAL,ALL,12,37.0
081002,2019,T,Y15-24,TOTAL,ALL,12,35.0
081002,2021,T,Y15-24,TOTAL,ALL,12,31.5051366278251
081002,2022,T,Y15-24,TOTAL,ALL,12,22.755878182978
081002,2023,T,Y15-24,TOTAL,ALL,12,23.01592345975913
081002,2024,T,Y15-24,TOTAL,ALL,12,20.436695115149597
081002,2018,T,Y15-24,TOTAL,ALL,22,76.0
081002,2019,T,Y15-24,TOTAL,ALL,22,74.0
081002,2021,T,Y15-24,TOTAL,ALL,22,71.5051366278251
081002,2022,T,Y15-24,TOTAL,ALL,22,72.755878182978
081002,2023,T,Y15-24,TOTAL,ALL,22,90.01592345975914
081002,2024,T,Y15-24,TOTAL,ALL,22,84.43669511514959
081002,2018,T,Y15-24,TOTAL,ALL,23,238.0
081002,2019,T,Y15-24,TOTAL,ALL,23,229.0
081002,2021,T,Y15-24,TOTAL,ALL,23,248.494863372175
081002,2022,T,Y15-24,TOTAL,ALL,23,246.244121817022
081002,2023,T,Y15-24,TOTAL,ALL,23,232.9840765402409
081002,2024,T,Y15-24,TOTAL,ALL,23,228.5633048848504
081002,2018,T,Y15-24,TOTAL,ALL,24,1.0
081002,2019,T,Y15-24,TOTAL,ALL,24,1.0
081002,2021,T,Y15-24,TOTAL,ALL,24,0.729063313050409
081002,2022,T,Y15-24,TOTAL,ALL,24,0.991626486871383
081002,2023,T,Y15-24,TOTAL,ALL,24,1.0358004409371553
081002,2024,T,Y15-24,TOTAL,ALL,24,0.8489618099225348
081002,2018,T,Y15-24,TOTAL,ALL,4,13.0
081002,2019,T,Y15-24,TOTAL,ALL,4,11.0
081002,2021,T,Y15-24,TOTAL,ALL,4,15.6799711539007
081002,2022,T,Y15-24,TOTAL,ALL,4,12.0171587122369
081002,2023,T,Y15-24,TOTAL,ALL,4,10.066347421161456
081002,2024,T,Y15-24,TOTAL,ALL,4,11.371752148916045
081002,2018,T,Y15-24,TOTAL,ALL,5,186.0
081002,2019,T,Y15-24,TOTAL,ALL,5,193.0
081002,2021,T,Y15-24,TOTAL,ALL,5,197.790112952024
081002,2022,T,Y15-24,TOTAL,ALL,5,208.489232326638
081002,2023,T,Y15-24,TOTAL,ALL,5,198.22426827694332
081002,2024,T,Y15-24,TOTAL,ALL,5,189.90247964928363
081002,2018,T,Y15-24,TOTAL,ALL,7,38.0
081002,2019,T,Y15-24,TOTAL,ALL,7,24.0
081002,2021,T,Y15-24,TOTAL,ALL,7,34.2957159532001
081002,2022,T,Y15-24,TOTAL,ALL,7,24.7461042912753
081002,2023,T,Y15-24,TOTAL,ALL,7,23.657660401198907
081002,2024,T,Y15-24,TOTAL,ALL,7,26.4401112767282
081002,2018,T,Y15-24,TOTAL,ALL,99,314.0
081002,2019,T,Y15-24,TOTAL,ALL,99,303.0
081002,2021,T,Y15-24,TOTAL,ALL,99,320.0
081002,2022,T,Y15-24,TOTAL,ALL,99,319.0
081002,2023,T,Y15-24,TOTAL,ALL,99,323.0
081002,2024,T,Y15-24,TOTAL,ALL,99,313.0
081003,2018,F,Y15-24,TOTAL,ALL,1,32.0
081003,2019,F,Y15-24,TOTAL,ALL,1,30.0
081003,2021,F,Y15-24,TOTAL,ALL,1,34.0
081003,2022,F,Y15-24,TOTAL,ALL,1,35.0
081003,2023,F,Y15-24,TOTAL,ALL,1,39.0
081003,2024,F,Y15-24,TOTAL,ALL,1,46.0
081003,2018,F,Y15-24,TOTAL,ALL,12,43.0
081003,2019,F,Y15-24,TOTAL,ALL,12,40.0
081003,2021,F,Y15-24,TOTAL,ALL,12,24.4805944607316
081003,2022,F,Y15-24,TOTAL,ALL,12,21.4891187742952
081003,2023,F,Y15-24,TOTAL,ALL,12,21.67763991504745
081003,2024,F,Y15-24,TOTAL,ALL,12,14.329098673621218
081003,2018,F,Y15-24,TOTAL,ALL,22,75.0
081003,2019,F,Y15-24,TOTAL,ALL,22,70.0
081003,2021,F,Y15-24,TOTAL,ALL,22,58.4805944607316
081003,2022,F,Y15-24,TOTAL,ALL,22,56.4891187742952
081003,2023,F,Y15-24,TOTAL,ALL,22,60.67763991504745
081003,2024,F,Y15-24,TOTAL,ALL,22,60.32909867362122
081003,2018,F,Y15-24,TOTAL,ALL,23,243.0
081003,2019,F,Y15-24,TOTAL,ALL,23,239.0
081003,2021,F,Y15-24,TOTAL,ALL,23,238.519405539268
081003,2022,F,Y15-24,TOTAL,ALL,23,215.510881225705
081003,2023,F,Y15-24,TOTAL,ALL,23,204.32236008495252
081003,2024,F,Y15-24,TOTAL,ALL,23,203.67090132637875
081003,2018,F,Y15-24,TOTAL,ALL,24,0.0
081003,2019,F,Y15-24,TOTAL,ALL,24,0.0
081003,2021,F,Y15-24,TOTAL,ALL,24,0.205571059591069
081003,2022,F,Y15-24,TOTAL,ALL,24,0.20564685341619
