territorio,nome_territorio,anno,genere,stato,quota,persone,destinazione
082053,Palermo,2024,F,altra condizione,5.0,1632.7,fuori e non in cerca
082053,Palermo,2024,M,altra condizione,12.5,4301.8,fuori e non in cerca
082053,Palermo,2024,T,altra condizione,8.9,5934.5,fuori e non in cerca
IT,Italia,2018,F,altra condizione,5.1,142582.0,fuori e non in cerca
IT,Italia,2018,M,altra condizione,9.0,274850.0,fuori e non in cerca
IT,Italia,2018,T,altra condizione,7.2,417432.0,fuori e non in cerca
IT,Italia,2019,F,altra condizione,4.3,120899.0,fuori e non in cerca
IT,Italia,2019,M,altra condizione,8.0,243046.0,fuori e non in cerca
IT,Italia,2019,T,altra condizione,6.2,363945.0,fuori e non in cerca
IT,Italia,2021,F,altra condizione,4.9,135374.3,fuori e non in cerca
IT,Italia,2021,M,altra condizione,8.7,263424.9,fuori e non in cerca
IT,Italia,2021,T,altra condizione,6.9,398799.2,fuori e non in cerca
IT,Italia,2022,F,altra condizione,4.1,115567.8,fuori e non in cerca
IT,Italia,2022,M,altra condizione,7.5,226811.1,fuori e non in cerca
IT,Italia,2022,T,altra condizione,5.9,342378.8,fuori e non in cerca
IT,Italia,2023,F,altra condizione,4.1,116098.9,fuori e non in cerca
IT,Italia,2023,M,altra condizione,7.7,234274.3,fuori e non in cerca
IT,Italia,2023,T,altra condizione,6.0,350373.2,fuori e non in cerca
IT,Italia,2024,F,altra condizione,4.4,122866.3,fuori e non in cerca
IT,Italia,2024,M,altra condizione,8.5,262111.3,fuori e non in cerca
IT,Italia,2024,T,altra condizione,6.5,384977.6,fuori e non in cerca
ITG1,Sicilia,2018,F,altra condizione,6.5,16727.0,fuori e non in cerca
ITG1,Sicilia,2018,M,altra condizione,14.9,41823.0,fuori e non in cerca
ITG1,Sicilia,2018,T,altra condizione,10.9,58550.0,fuori e non in cerca
ITG1,Sicilia,2019,F,altra condizione,4.5,11375.0,fuori e non in cerca
ITG1,Sicilia,2019,M,altra condizione,11.7,32056.0,fuori e non in cerca
