territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082053,2022,F,Y53,53.0,ALL,ITL,4893
082053,2023,F,Y53,53.0,ALL,ITL,4650
082053,2024,F,Y53,53.0,ALL,ITL,4927
082053,2021,F,Y53,53.0,ALL,TOTAL,5147
082053,2022,F,Y53,53.0,ALL,TOTAL,5129
082053,2023,F,Y53,53.0,ALL,TOTAL,4870
082053,2024,F,Y53,53.0,ALL,TOTAL,5124
082053,2021,F,Y54,54.0,ALL,FRGAPO,224
082053,2022,F,Y54,54.0,ALL,FRGAPO,266
082053,2023,F,Y54,54.0,ALL,FRGAPO,229
082053,2024,F,Y54,54.0,ALL,FRGAPO,222
082053,2021,F,Y54,54.0,ALL,ITL,4774
082053,2022,F,Y54,54.0,ALL,ITL,4892
082053,2023,F,Y54,54.0,ALL,ITL,4887
082053,2024,F,Y54,54.0,ALL,ITL,4668
082053,2021,F,Y54,54.0,ALL,TOTAL,4998
082053,2022,F,Y54,54.0,ALL,TOTAL,5158
082053,2023,F,Y54,54.0,ALL,TOTAL,5116
082053,2024,F,Y54,54.0,ALL,TOTAL,4890
082053,2021,F,Y55,55.0,ALL,FRGAPO,201
082053,2022,F,Y55,55.0,ALL,FRGAPO,225
082053,2023,F,Y55,55.0,ALL,FRGAPO,261
082053,2024,F,Y55,55.0,ALL,FRGAPO,227
082053,2021,F,Y55,55.0,ALL,ITL,4947
082053,2022,F,Y55,55.0,ALL,ITL,4801
082053,2023,F,Y55,55.0,ALL,ITL,4885
082053,2024,F,Y55,55.0,ALL,ITL,4889
082053,2021,F,Y55,55.0,ALL,TOTAL,5148
082053,2022,F,Y55,55.0,ALL,TOTAL,5026
082053,2023,F,Y55,55.0,ALL,TOTAL,5146
082053,2024,F,Y55,55.0,ALL,TOTAL,5116
082053,2021,F,Y56,56.0,ALL,FRGAPO,167
082053,2022,F,Y56,56.0,ALL,FRGAPO,202
082053,2023,F,Y56,56.0,ALL,FRGAPO,224
082053,2024,F,Y56,56.0,ALL,FRGAPO,256
082053,2021,F,Y56,56.0,ALL,ITL,4976
082053,2022,F,Y56,56.0,ALL,ITL,4932
082053,2023,F,Y56,56.0,ALL,ITL,4770
082053,2024,F,Y56,56.0,ALL,ITL,4902
082053,2021,F,Y56,56.0,ALL,TOTAL,5143
082053,2022,F,Y56,56.0,ALL,TOTAL,5134
082053,2023,F,Y56,56.0,ALL,TOTAL,4994
082053,2024,F,Y56,56.0,ALL,TOTAL,5158
082053,2021,F,Y57,57.0,ALL,FRGAPO,180
082053,2022,F,Y57,57.0,ALL,FRGAPO,169
082053,2023,F,Y57,57.0,ALL,FRGAPO,209
082053,2024,F,Y57,57.0,ALL,FRGAPO,226
082053,2021,F,Y57,57.0,ALL,ITL,5141
082053,2022,F,Y57,57.0,ALL,ITL,4956
082053,2023,F,Y57,57.0,ALL,ITL,4938
082053,2024,F,Y57,57.0,ALL,ITL,4771
082053,2021,F,Y57,57.0,ALL,TOTAL,5321
082053,2022,F,Y57,57.0,ALL,TOTAL,5125
082053,2023,F,Y57,57.0,ALL,TOTAL,5147
082053,2024,F,Y57,57.0,ALL,TOTAL,4997
082053,2021,F,Y58,58.0,ALL,FRGAPO,183
082053,2022,F,Y58,58.0,ALL,FRGAPO,183
082053,2023,F,Y58,58.0,ALL,FRGAPO,150
082053,2024,F,Y58,58.0,ALL,FRGAPO,215
082053,2021,F,Y58,58.0,ALL,ITL,4897
082053,2022,F,Y58,58.0,ALL,ITL,5129
