territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
083052,Mistretta,445723,4195386,80.1,23.7,29.0,50.0,54.6,2008,177,
083053,Moio Alcantara,503437,4196616,136.6,27.5,29.2,75.4,55.9,312,172,
083054,Monforte San Giorgio,534565,4222002,166.5,24.0,25.9,52.1,32.1,1134,265,
083055,Mongiuffi Melia,522788,4195407,155.9,30.9,28.5,88.5,50.8,239,192,
083056,Montagnareale,494508,4220046,126.4,29.5,33.7,85.6,86.7,611,52,
083057,Montalbano Elicona,501443,4208202,133.5,28.2,25.4,79.5,25.9,967,289,
083058,Motta Camastra,516453,4195191,149.7,32.4,29.9,93.1,61.8,338,149,
083059,Motta d'Affermo,439507,4204335,72.2,22.5,23.8,41.8,17.2,307,323,
083060,Naso,479968,4219787,111.9,30.9,28.2,88.5,49.2,1589,198,
083061,Nizza di Sicilia,530580,4208437,162.6,31.9,37.7,91.8,97.7,1583,9,
083062,Novara di Sicilia,511567,4208641,143.6,25.0,26.7,60.8,38.2,501,241,
083063,Oliveri,503680,4218025,135.5,29.5,28.1,85.6,47.7,1013,204,
083064,Pace del Mela,526605,4226323,158.8,26.0,30.3,66.4,65.9,2679,133,
083065,Pagliara,527159,4206099,159.3,27.9,30.9,78.5,70.5,512,115,
083066,Patti,499578,4218520,131.4,32.7,34.4,94.1,89.0,5948,43,
083067,Pettineo,438688,4201215,72.0,23.1,23.4,45.4,15.6,580,329,
083068,Piraino,488809,4222677,120.8,32.5,36.0,93.6,93.8,1682,24,
083069,Raccuja,492995,4209104,125.0,31.7,31.7,91.0,75.1,398,97,
083070,Reitano,441921,4204599,74.6,23.5,25.0,47.9,22.8,320,301,
083071,Roccafiorita,522996,4198517,155.8,29.2,35.0,83.8,91.3,80,34,
083072,Roccalumera,533448,4204690,165.6,31.2,33.6,89.7,86.2,1977,54,
083073,Roccavaldina,533362,4225493,165.5,24.8,25.7,58.2,30.0,459,273,
083074,Roccella Valdemone,500233,4199263,133.1,27.4,27.0,74.6,39.0,244,238,
083075,Rodì Milici,514891,4213135,146.7,32.0,36.8,92.1,96.2,887,15,
083076,Rometta,536097,4225416,168.2,25.8,30.8,64.6,69.7,2978,118,
083077,San Filippo del Mela,524286,4225594,156.4,25.8,30.1,64.6,64.6,2959,138,
083078,San Fratello,465761,4202596,98.4,26.8,29.8,70.8,61.0,1446,152,
083079,San Marco d'Alunzio,474389,4212901,106.2,37.0,36.8,99.2,96.4,856,14,
083080,San Pier Niceto,531551,4222203,163.5,22.8,25.6,43.8,28.5,1170,279,
083081,San Piero Patti,496527,4209212,128.5,32.2,30.3,92.6,66.9,1249,129,
083082,San Salvatore di Fitalia,480970,4213324,112.8,24.2,27.1,54.4,40.3,549,233,
083083,Santa Domenica Vittoria,496681,4198123,129.7,36.1,35.5,97.7,92.8,383,28,
083084,Sant'Agata di Militello,468195,4208684,100.3,31.1,33.1,89.2,81.5,5754,72,
083085,Sant'Alessio Siculo,529674,4197395,162.5,38.6,38.8,99.5,99.5,722,2,
083086,Santa Lucia del Mela,526442,4216832,158.3,24.1,29.3,52.6,56.2,1943,171,
083087,Santa Marina Salina,487638,4267323,130.2,29.0,38.1,82.8,98.2,365,7,
083088,Sant'Angelo di Brolo,490662,4217039,122.5,33.7,33.9,95.6,87.2,1253,50,
083089,Santa Teresa di Riva,531873,4199967,164.4,32.9,38.3,94.6,98.7,4286,5,
083090,San Teodoro,472902,4187481,108.4,25.5,34.1,62.6,87.7,572,48,
083091,Santo Stefano di Camastra,444520,4204542,77.1,25.9,28.4,65.4,50.3,2039,194,
083092,Saponara,539294,4227242,171.5,20.9,28.7,31.3,52.8,1664,184,
083093,Savoca,529911,4200782,162.4,26.7,33.9,70.0,87.4,790,49,
083094,Scaletta Zanclea,540106,4211601,172.0,23.5,28.8,47.9,53.3,872,182,
083095,Sinagra,487030,4215003,118.9,33.7,35.7,95.6,93.6,1100,25,
083096,Spadafora,534309,4228729,166.6,23.6,28.2,49.0,48.7,2141,200,
083097,Taormina,524158,4188880,158.3,34.2,38.7,96.4,99.0,4814,4,
083098,Torregrotta,530628,4228597,163.0,24.6,30.8,57.2,70.0,3380,117,
083099,Tortorici,486967,4204729,119.3,36.9,33.2,98.7,82.8,2465,67,
083100,Tripi - Abakainon,507118,4209959,139.1,31.3,31.9,90.3,76.9,354,90,
083101,Tusa,433185,4204623,65.9,25.1,27.9,61.5,45.1,1145,214,
083102,Ucria,489981,4208503,122.0,22.5,30.0,41.8,62.8,410,144,
083103,Valdina,531697,4228531,164.0,27.4,30.7,74.6,68.7,561,122,
083104,Venetico,532831,4228125,165.1,24.5,29.9,55.6,62.1,1840,148,
083105,Villafranca Tirrena,540626,4230029,173.0,26.1,31.3,66.9,72.6,3708,107,
083106,Terme Vigliatore,513466,4220018,145.4,33.9,35.3,96.2,92.6,3169,29,
083107,Acquedolci,463545,4211765,95.4,26.7,29.0,70.0,54.4,2526,178,
083108,Torrenova,472980,4216530,104.8,36.3,36.4,97.9,95.1,2039,19,
084001,Agrigento,374548,4131014,84.9,26.9,32.4,72.1,79.5,25110,80,
084002,Alessandria della Rocca,364943,4156037,59.7,19.8,23.0,25.6,13.3,1099,338,
084003,Aragona,376447,4142373,73.7,23.3,29.7,46.7,60.0,4007,156,
084004,Bivona,359050,4159503,56.9,21.3,26.5,35.1,36.7,1457,247,
084005,Burgio,349197,4165341,53.8,22.5,33.3,41.8,83.8,1126,63,
084006,Calamonaci,351296,4153946,64.0,24.5,29.6,55.6,58.7,524,161,
084007,Caltabellotta,342384,4159391,61.9,19.1,27.8,20.5,44.4,1455,217,
084008,Camastra,393952,4122860,96.3,20.6,26.0,29.2,33.1,892,261,
084009,Cammarata,390477,4165568,54.8,22.7,28.8,43.3,53.6,2591,181,
084010,Campobello di Licata,402527,4120902,100.8,17.9,23.5,10.8,15.9,4039,328,
084011,Canicattì,396891,4137531,83.2,19.5,25.1,23.1,23.6,15279,298,
084012,Casteltermini,378207,4153896,62.5,18.9,23.6,19.5,16.2,3323,327,
084013,Castrofilippo,389236,4135666,82.7,16.7,22.0,6.2,6.2,1154,366,
084014,Cattolica Eraclea,355475,4143647,73.1,18.7,22.2,17.9,6.9,1488,363,
084015,Cianciana,361577,4151942,64.0,20.0,22.7,26.9,11.3,1419,346,
084016,Comitini,380575,4141229,75.4,23.0,25.7,44.9,29.2,382,276,
084017,Favara,381979,4130691,86.1,20.6,29.4,29.2,57.4,13989,166,
084018,Grotte,384169,4142422,74.9,18.1,26.2,12.3,34.1,2377,257,
