AnnoScolastico,territorio,DescrizioneComune,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,DescrizioneTipologiaGradoIstruzioneScuola
202526,,FRANCOFONTE,SRTD01152R,CORSO SERALE,Non Disponibile,Non Disponibile,ISTITUTO TECNICO COMMERCIALE
202526,,FURCI SICULO,METD03302V,FURCI SICULO,VIA MARCONI,98023,IST TEC COMMERCIALE E PER GEOMETRI
202526,,GANGI,PATD01701N,"""G. SALERNO""",VIA ROCCO CHINNICI S.N.C,90024,ISTITUTO TECNICO COMMERCIALE
202526,,GANGI,PATD017513,"""G. SALERNO"" SERALE",VIA ROCCO CHINNICI S.N.C,90024,ISTITUTO TECNICO COMMERCIALE
202526,,GELA,CLTD02201G,L. STURZO,VIA ETTORE ROMAGNOLI 78,93012,ISTITUTO TECNICO COMMERCIALE
202526,,GELA,CLTD022511,CORSO SERALE A.F.M. - GELA,Non Disponibile,Non Disponibile,ISTITUTO TECNICO COMMERCIALE
202526,,GELA,CLTF02201T,"I.T.T. ""E. MORSELLI""",VIA PITAGORA,93012,ISTITUTO TECNICO INDUSTRIALE
202526,,GELA,CLTF022517,CORSO SERALE MECC. - GELA,VIA PITAGORA,93012,ISTITUTO TECNICO INDUSTRIALE
202526,,GELA,CLTL006014,"TRASPORTI E LOGISTICA ""E. MAJORANA""",VIA PITAGORA N. 41,93012,ISTITUTO TECNICO PER GEOMETRI
202526,,GELA,CLTL00651D,SERALI CAT IPSS NAUTICO - MAJORANA GELA,VIA PITAGORA 41,93012,ISTITUTO TECNICO PER GEOMETRI
202526,,GIARRE,CTTF039018,ITI ENRICO FERMI,VIA NUNZIO MACCARRONE 4,95014,ISTITUTO TECNICO INDUSTRIALE
202526,,GIARRE,CTTF03951N,ENRICO FERMI,VIA NUNZIO MACCARRONE 4,95014,ISTITUTO TECNICO INDUSTRIALE
202526,,GRAMMICHELE,CTTD05602R,"I.T.C. ""G. ARCOLEO"" SEZ. DI GRAMMICHELE",VIA L. EINAUDI N.5,95042,ISTITUTO TECNICO COMMERCIALE
202526,,LENTINI,SRTD01101A,IST. TEC. COMM. LENTINI,VIA RICCARDO DA LENTINI 89B,96016,ISTITUTO TECNICO COMMERCIALE
202526,,LENTINI,SRTD01151Q,IST. TEC. COMM. SERALE,VIA RICCARDO DA LENTINI 89B,96016,ISTITUTO TECNICO COMMERCIALE
202526,,LENTINI,SRTL01101R,PIER LUIGI NERVI,VIA R. DA LENTINI 89,96016,ISTITUTO TECNICO PER GEOMETRI
202526,,LICATA,AGTD01101R,"ITC ""F. RE CAPRIATA""",VIA CAMPOBELLO,92027,ISTITUTO TECNICO COMMERCIALE
202526,,LICATA,AGTD011516,"I.T.C. ""F.RE CAPRIATA"" CORSO SERALE",VIA CAMPOBELLO,92027,ISTITUTO TECNICO COMMERCIALE
202526,,LICATA,AGTL011017,INES GIGANTI CURELLA,VIA FILIPPO RE GRILLO (C. DA CANNELLE),92027,ISTITUTO TECNICO PER GEOMETRI
202526,,LICATA,AGTL01151L,"I.T.G.""I.G.CURELLA"" (CORSO SERALE)",VIA PALMA N.322,92027,ISTITUTO TECNICO PER GEOMETRI
